                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5758,                 4.4812,                 1.2634,                0.82234,                0.08665,                0.09156,                0.04491,                 1.8288,                 2.8882,                 1.0149,                 0.0793,                 0.0023,                 0.0023
                      1,                 2.2827,                 2.2623,                 1.1235,                0.69728,                 0.2027,                0.20083,                0.09538,                 1.6906,                 1.6856,                0.98216,               0.057695,              0.0046953,              0.0046953
                      2,                 2.2273,                 1.9034,                  1.081,                0.64958,                0.36418,                0.33082,                0.13843,                 1.7314,                 1.4621,                0.96341,               0.036086,              0.0070859,              0.0070859
                      3,                 2.2071,                 1.8943,                 1.0605,                0.74286,                0.31577,                0.39379,                0.16291,                  1.642,                 1.6333,                0.94694,               0.014472,              0.0094718,              0.0094718
                      4,                 2.1785,                 1.7797,                 1.0722,                0.70308,                0.33581,                0.39367,                0.16729,                 1.8351,                 1.7833,                0.97542,              0.0099604,              0.0099604,              0.0099604
                      5,                 2.1414,                  1.753,                 1.0284,                 0.6176,                0.39783,                0.42644,                0.16305,                 1.8641,                  1.367,                0.97375,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.1815,                 1.5447,                 1.0529,                0.57414,                0.48741,                0.52007,                0.25237,                 1.5728,                 1.1842,                0.93088,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.1093,                 1.4971,                 1.0428,                0.58477,                0.52584,                0.52513,                0.22411,                 1.8079,                 1.3261,                0.94241,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.0637,                 1.4786,                 1.0219,                0.28481,                0.32473,                0.31005,                0.15088,                 1.8045,                 1.8747,                 1.0147,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.0495,                 1.3816,                 1.0243,                 0.5446,                0.46052,                0.49555,                0.20739,                 1.8141,                 1.1815,                0.95078,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.0157,                 1.3125,                 1.0092,                0.70337,                0.47211,                0.54207,                0.21991,                 1.9631,                 1.0862,                0.96325,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.0168,                 1.2993,                 1.0163,                0.59572,                0.61604,                0.63518,                0.29646,                 1.6248,                  1.056,                0.92131,               0.009901,               0.009901,               0.009901
                     12,                 1.9405,                 1.2615,                0.98477,                0.67071,                0.60809,                0.68458,                0.32284,                  1.551,                0.96504,                0.90947,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.9367,                 1.2632,                 0.9957,                0.69659,                0.62102,                0.66246,                0.31573,                 1.5738,                0.96714,                0.91523,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.9643,                 1.2019,                0.97916,                 0.6421,                0.55247,                0.64164,                0.31102,                 1.5819,                  0.973,                0.92059,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.9011,                 1.2157,                0.98527,                0.68875,                0.64245,                0.69228,                 0.3221,                 1.6569,                0.94193,                 0.9168,              0.0098614,              0.0098614,              0.0098614
                     16,                   1.89,                 1.1972,                0.96343,                0.74443,                0.63452,                0.71437,                 0.3877,                 1.4171,                0.86841,                0.89153,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.8747,                 1.1655,                0.97354,                0.66839,                0.60132,                0.65632,                0.31347,                 1.5856,                0.97432,                0.91719,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.8821,                 1.2172,                0.98496,                0.68322,                0.65181,                 0.6931,                0.33543,                 1.6253,                0.96582,                0.91312,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.8739,                 1.1542,                0.96944,                0.77586,                0.64839,                 0.7172,                0.35176,                 1.4926,                0.91838,                0.89904,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.8657,                 1.1559,                0.97596,                0.77697,                0.65511,                0.73633,                0.36593,                 1.4723,                0.92291,                0.90136,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.8451,                 1.1334,                0.96565,                0.75148,                 0.6673,                0.74649,                 0.3867,                 1.4467,                0.89561,                0.89748,               0.009802,               0.009802,               0.009802
                     22,                 1.8223,                 1.1253,                0.96125,                0.72015,                0.68347,                0.74399,                0.36909,                 1.5603,                0.88129,                0.90957,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.8474,                 1.1228,                0.97091,                0.66406,                 0.6756,                0.71665,                0.35479,                 1.4748,                0.89714,                0.89534,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.7836,                  1.109,                0.95763,                0.66813,                0.65572,                0.68154,                0.31268,                 1.7329,                0.88716,                0.92246,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.8145,                 1.1146,                 0.9521,                0.67324,                0.72661,                0.73758,                0.33423,                 1.6253,                0.85485,                0.90937,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.7892,                  1.105,                0.96493,                0.78261,                0.71156,                0.77187,                0.36908,                 1.5181,                0.81534,                  0.904,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.8043,                 1.0883,                0.95353,                0.75169,                0.68395,                0.72253,                0.32937,                 1.6183,                0.86316,                0.91325,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.7841,                 1.0968,                 0.9653,                0.70744,                0.64944,                0.73224,                0.34977,                 1.5185,                0.89163,                0.90587,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.7386,                 1.1143,                0.95879,                0.76833,                0.69846,                0.76808,                0.36494,                 1.5528,                0.84923,                0.90451,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.7625,                 1.0749,                  0.952,                0.75191,                 0.6087,                0.67955,                0.30677,                 1.6668,                0.93727,                0.92363,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.7282,                 1.1014,                0.94427,                0.75213,                0.67316,                 0.7348,                0.30904,                 1.6297,                0.91262,                0.91019,               0.009703,               0.009703,               0.009703
                     32,                 1.7525,                 1.0636,                0.94215,                0.75515,                0.62921,                0.68673,                0.34468,                 1.5119,                0.87629,                0.90134,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.7759,                 1.1019,                0.96142,                0.73214,                0.56696,                0.65334,                0.27272,                 1.7982,                0.98512,                0.94095,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.7242,                  1.057,                0.94959,                0.76801,                0.74819,                0.79882,                0.39006,                 1.4096,                 0.8118,                0.89202,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.7085,                 1.0401,                0.94645,                0.69612,                 0.7091,                 0.7527,                0.35774,                 1.6186,                0.88797,                0.91065,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.6814,                 1.0328,                0.93147,                0.71716,                0.68221,                0.73868,                0.38003,                 1.5603,                0.86897,                0.90307,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.6975,                 1.0413,                  0.939,                0.72441,                0.68028,                0.74229,                0.36026,                 1.5523,                0.91187,                0.90138,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.6953,                 1.0392,                0.93503,                0.79147,                0.73292,                0.79739,                0.40287,                 1.4839,                0.79452,                0.89231,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.6886,                 1.0431,                0.93692,                0.72707,                0.68526,                 0.7768,                0.35652,                 1.6339,                0.81117,                0.90803,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.6858,                 1.0011,                0.93451,                0.82537,                0.62433,                0.77938,                0.39803,                 1.4832,                0.83778,                0.90186,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.6661,                 1.0437,                0.95091,                0.38216,                0.45648,                0.41556,                0.20505,                 1.6288,                 1.2713,                0.94012,               0.009604,               0.009604,               0.009604
                     42,                 1.6833,                 1.0201,                0.93975,                0.67705,                0.66774,                0.76722,                0.35043,                 1.4719,                0.92501,                0.90252,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.6741,                 1.0073,                0.92688,                0.79876,                0.66416,                0.75625,                0.37818,                 1.3985,                0.80246,                0.88693,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.6978,                 1.0277,                0.93594,                0.78869,                0.74478,                0.80178,                0.43249,                 1.3307,                0.78526,                0.87959,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.6203,                0.97702,                 0.9189,                0.82128,                0.74466,                0.81513,                0.43612,                 1.3119,                0.76217,                0.87833,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.6703,                 1.0611,                0.94808,                0.74411,                0.71061,                0.76543,                0.36961,                 1.5052,                0.80763,                0.89349,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.6631,                0.99831,                0.93071,                0.77021,                0.69865,                0.76128,                0.38352,                 1.4996,                 0.7894,                0.89666,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.6492,                 1.0504,                0.94566,                0.69272,                  0.641,                0.70207,                0.31005,                 1.5399,                 0.9153,                0.90669,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.6415,                 1.0043,                 0.9261,                  0.763,                0.76808,                0.79508,                0.37471,                  1.507,                0.79099,                0.88934,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.6604,                 1.0087,                0.93216,                0.73226,                0.65399,                0.72695,                0.34855,                 1.5282,                0.85413,                0.90117,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.6634,                0.97952,                0.93477,                0.77881,                0.67287,                0.78292,                0.40247,                 1.4582,                0.79647,                0.89675,               0.009505,               0.009505,               0.009505
                     52,                  1.662,                0.96484,                0.92351,                0.70527,                0.61172,                0.69411,                0.34508,                  1.505,                0.90446,                0.89978,              0.0094951,              0.0094951,              0.0094951
                     53,                  1.629,                0.97585,                0.93913,                0.78684,                0.66121,                0.74113,                0.37147,                 1.4452,                0.84372,                0.89594,              0.0094852,              0.0094852,              0.0094852
                     54,                  1.624,                0.98302,                0.92535,                0.68644,                0.64504,                0.71285,                0.33015,                 1.5107,                 0.8984,                0.90706,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.6291,                0.99983,                 0.9292,                0.68564,                0.70532,                0.72807,                0.38375,                 1.3447,                0.80738,                0.88644,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.6005,                0.96377,                0.91956,                0.76173,                0.76967,                0.81895,                0.41313,                 1.4571,                 0.7724,                0.89566,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.6001,                0.99011,                0.92629,                0.76494,                0.69847,                0.77433,                0.40252,                 1.4166,                0.80947,                0.88456,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.6124,                0.97853,                0.92571,                0.84344,                0.65342,                0.77414,                0.37717,                 1.4946,                0.83058,                0.89136,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.6148,                0.96978,                0.92367,                0.61349,                0.66938,                0.68104,                0.33675,                 1.5107,                0.89944,                0.90345,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.5914,                0.94646,                 0.9161,                0.77934,                0.70567,                0.75995,                0.36897,                 1.6054,                0.79939,                0.90853,              0.0094159,              0.0094159,              0.0094159
                     61,                  1.598,                0.95655,                0.91644,                 0.8093,                0.60541,                0.67356,                0.33147,                 1.4996,                0.84999,                0.89826,               0.009406,               0.009406,               0.009406
                     62,                  1.599,                0.95431,                0.92401,                0.80529,                0.71491,                0.82166,                0.39011,                 1.4882,                0.78363,                0.89133,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.6054,                0.95587,                 0.9177,                 0.6515,                0.63097,                0.66604,                 0.3285,                 1.4949,                0.92538,                0.89946,              0.0093862,              0.0093862,              0.0093862
                     64,                  1.585,                 0.9512,                 0.9175,                 0.8053,                0.77828,                0.83988,                0.45334,                 1.2947,                0.74174,                0.87191,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.6047,                0.95881,                0.92511,                0.66369,                0.68149,                0.74009,                0.36927,                 1.4015,                0.86043,                  0.891,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.5527,                0.92505,                0.90641,                0.62784,                 0.6499,                0.68959,                0.35342,                 1.3948,                0.88967,                0.89235,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.6054,                0.96858,                0.92618,                0.59062,                0.66507,                0.65365,                0.32898,                 1.4119,                0.94517,                 0.8951,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.5466,                  0.921,                0.90867,                0.65673,                  0.741,                0.78739,                0.38831,                  1.472,                0.82124,                0.88927,              0.0093367,              0.0093367,              0.0093367
                     69,                  1.579,                0.94683,                 0.9193,                0.65771,                0.67796,                0.70771,                0.33292,                  1.543,                0.91806,                0.90393,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.5686,                0.95418,                0.92103,                 0.7639,                0.70901,                0.77769,                0.39276,                 1.3921,                0.84504,                0.88392,              0.0093169,              0.0093169,              0.0093169
                     71,                  1.571,                0.93049,                0.91036,                0.81756,                0.73891,                 0.8226,                0.44377,                 1.3084,                0.71459,                0.87549,               0.009307,               0.009307,               0.009307
                     72,                 1.5249,                0.94054,                0.91969,                 0.7018,                0.59374,                0.70424,                0.35777,                  1.365,                0.87248,                0.88488,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.5924,                0.92377,                0.90119,                0.78285,                0.71184,                0.81487,                0.43688,                 1.3542,                0.77343,                0.88046,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.5406,                0.92939,                0.91707,                 0.7545,                0.78116,                0.83613,                0.42037,                  1.363,                0.78946,                0.88847,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.5442,                0.92581,                0.91345,                0.87552,                0.73886,                0.84599,                0.46329,                 1.2972,                0.70053,                0.87338,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.5555,                0.92268,                0.90434,                0.79933,                0.77818,                0.82891,                0.44646,                  1.313,                0.73073,                0.87688,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.5409,                0.91209,                0.90513,                0.68016,                0.67331,                0.70917,                0.33912,                 1.4553,                0.94051,                0.90129,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.4833,                0.90869,                0.90408,                0.68374,                 0.6893,                0.70744,                0.34192,                 1.5006,                0.92401,                0.90501,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.5686,                0.95831,                 0.9094,                0.68913,                0.76656,                0.78552,                0.39587,                  1.371,                0.84124,                0.88451,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.5252,                0.91383,                0.91878,                 0.7538,                0.72998,                0.79713,                0.38815,                 1.4924,                0.84527,                0.89941,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.5391,                0.90388,                 0.9054,                0.86328,                0.72603,                0.83138,                0.43538,                 1.4331,                0.72293,                0.88877,               0.009208,               0.009208,               0.009208
                     82,                 1.5364,                0.91411,                0.90282,                0.73672,                0.79291,                0.82056,                0.44028,                 1.3782,                0.70372,                0.88856,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.4903,                0.91004,                0.91149,                0.47194,                0.55877,                0.51399,                0.21865,                 1.6991,                 1.0309,                0.93574,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.4982,                0.89523,                0.90568,                0.66392,                0.73786,                0.77761,                0.36554,                 1.5788,                0.80044,                0.90274,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.5407,                0.92723,                0.91404,                0.64191,                0.69855,                0.70257,                0.33925,                 1.5141,                 0.9519,                 0.9111,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.5114,                0.89289,                0.90152,                0.75764,                0.77029,                0.82323,                0.40586,                 1.3821,                0.77407,                0.88545,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.5418,                0.94082,                0.91975,                 0.7847,                0.73294,                0.79415,                0.41514,                 1.3947,                0.77597,                0.88631,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.4983,                0.87921,                0.90242,                0.72859,                0.69024,                0.75943,                  0.406,                 1.3821,                0.83325,                0.89153,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.5175,                0.91303,                0.90903,                0.52292,                0.61147,                0.54046,                0.27267,                 1.5159,                 1.0778,                0.92458,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.5016,                0.89643,                0.90406,                0.72307,                0.67644,                0.71981,                0.38184,                 1.4258,                0.86765,                0.89822,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.5028,                 0.8698,                0.90841,                0.80178,                0.79421,                0.84316,                0.45922,                 1.3114,                0.67212,                0.87305,               0.009109,               0.009109,               0.009109
                     92,                 1.5331,                0.90899,                 0.9034,                0.69614,                0.69398,                0.72997,                0.37491,                  1.444,                0.86913,                0.90025,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.5153,                 0.8939,                0.90283,                0.79132,                0.77919,                0.83724,                0.47274,                 1.2923,                0.68752,                0.87685,              0.0090892,              0.0090892,              0.0090892
